index,company,category,training/test,description 
236,中央情報システム株式会社,IT,training,業務 分析 や コンサルティング 、 システム 開発 ・ 保守 ・ 運用 を 行っ て いる 。 販売 管理 や 生産 管理 、 会計 管理 など の 業務 
237,株式会社ソフトウェアサービス,IT,training,業務 用 の 各種 アプリケーション ソフト の 設計 と 開発 、 および 社内 システム の 構築 を 行う 。 ほか に Web 関連 ソフト の 開発 
238,アンドール株式会社,IT,training,連結 子会社 の アンドール システムズ 株式会社 と共に 、 技術 者 の 派遣 や ソフトウェア の 開発 、 コンサルティング など を 行う エンジニアリング 事業 を 手掛ける 。 主 に 、 基幹 系 業務 システム 、 データ 管理 システム や EC システム など の Web システム 、 学校 教育 用 デジタル 素材 など の コンテンツ 開発 に 対応 する 。 また 、 親会社 で ある TCS ホールディングス 株式会社 や グループ 各 
239,株式会社富士通鹿児島インフォネット,IT,training,経営 戦略 と 情報 化 について の システム コンサルティング を 手掛ける 。 また 、 システム の 設計 や 開発 、 そして テスト および 保守 に 至る ま 
240,ＡＢＣシステム株式会社,IT,training,オープン 系 システム や Web 系 システム など の ソフトウェア 開発 を 手掛ける 。 また 、 運用 設計 や 監視 、 オペレーション など の システム マネ 
241,アイ・システム株式会社,IT,training,企業 の 経営 的 な グランド デザイン 策定 や その 組織 の 編成 、 付随 する 情報 システム の 構築 など に関する コンサルティング を 行う 。 また 、 業務 処理 体 
242,株式会社ＣＩＪソリューションズ,IT,training,神奈川 県 に ある 株式会社 CIJ の 子会社 。 ソフトウェア の 設計 ・ 開発 や パッケージ の 開発 ・ 販売 など を 行っ て おり 、 幅広い 産業 へ IT サー 
243,株式会社ＹＳＫｅ－ｃｏｍ,IT,training,「 地方 公務員 人事 評価 システム 」 など の 自治体 向け の システム 開発 を 行う 。 また 、 「 CESS 販売 管理 」 など の 民間 企業 向け システム や 「 診察 待ち 番号 表示 システム 
244,株式会社テクノプロジエクト,IT,training,官公庁 や 企業 、 教育 現場 について 、 ソフトウェア の 受託 開発 や 情報 システム の 構築 から 運用 や 保守 まで を 請け負う 。 その他 、 ソフトウェア の 
245,株式会社コスメディア,IT,training,東京 都 千代田 区 を 拠点 に 、 金融 機関 や 中小 企業 向け に 経営 コンサルティング を 手掛け 
246,株式会社ＧＩテクノス,IT,training,Web 系 や Open 系 、 汎用 系 の システム 構築 ・ 開発 業務 を 行う 会社 。 半導体 設計 および 半導体 システム 設計 や 、 EC サイト の 構築 など も 請け負う 。 また 、 W 
247,株式会社ＪＣＤソリューション,IT,training,アプリケーション システム 開発 を はじめ 、 導入 から 運用 保守 に 至る コンピューター システム を 手掛け て いる 。 主 な 導入 支援 として は 医療 情報 
248,株式会社コムニック,IT,training,通信 業 を メイン に 製造 業 や 金融 業 の システム 開発 および 運用 、 保守 を 行う 。 また 、 IT 基盤 設計 や 構築 を 行う 他 、 経営 戦略 の 立案 および IT システム の 構築 など 
249,株式会社ズコーシャ,IT,training,自然 環境 や 農村 振興 、 まち づくり など に フォーカス し た 総合 コンサルティング を 行う 。 調査 研究 、 計画 から 測量 、 そして 設計 まで の 建築 コ 
250,株式会社メガ・テクノロジー,IT,training,サーバ 構築 と ネットワーク 構築 など の インフラ 構築 を 行う 。 また 、 業務 システム や Web システム など の 開発 、 システム の 運用 ならびに 保守 に も 対応 。 
251,東急テックソリューションズ株式会社,IT,training,アプリケーション 開発 や インフラ 構築 といった システム の 開発 ・ 構築 を 行う 。 交通 系 IC カード や 電子 決済 、 不動産 向け の 電子 キー 並びに ホテル 
252,株式会社ビズ,IT,training,IT ソリューション として の ヘルプ デスク の 運用 や コール センター の 構築 ・ 運用 など を 主 に 行う 会社 。 また 、 ヘルプ デスク 向け インシデント 管理 シ 
253,株式会社アド・ソアー,IT,training,自動車 や 建設 機械 、 および 医療 機器 や 小型 電子 機器 など の 設計 開発 に 加え て 、 各種 基幹 システム や Web システム の 開発 や 保守 など を 手掛ける 。 ま 
254,ＮＲＩデータｉテック株式会社,IT,training,ネットワーク や ハード ウエア 等 、 企業 の IT インフラストラクチャー 分野 の サポート を 手掛ける 。 情報 ・ 通信 システム の 開発 や 、 システム 関連 の 
255,株式会社アイ・ユー・ケイ,IT,training,システム インテグレーション の 提案 サービス を 中心 に 、 IT 基盤 や サーバ ・ ネットワーク 構築 を 行う 。 その他 に も 、 運用 支援 や 導入 支援 を はじめ 、 保守 サービス お よ 
256,株式会社フジミック,IT,training,放映 システム や リアルタイム 字幕 システム など 放送 関連 システム の 開発 を 行う 。 また 、 西日本 高速 道路 株式会社 が 提供 する 「 お出かけ 情報 」 等 の サイト の 管理 運営 、 さまざま な 
257,株式会社ＮＳソリューションズ中部,IT,training,新日鉄 住金 ソリューションズ の グループ 企業 で あり 、 主 に コンピュータ や システム 化 の コンサルティング を 行っ て いる 。 また 、 業務 改 
258,株式会社ネットサポート,IT,training,官公庁 および 中小 企業 など の クラウドサービス の 設計 から 運用 および 監視 まで を 行 
259,テクニカルジャパン株式会社,IT,training,システム インテグレーション の ほか 、 通信 や セキュリテイ および 制御 系 システム など 、 各種 ソフトウェア の 設計 および 開発 を 行う 。 その ほか 、 各 
260,株式会社ＴＡＳ,IT,training,発電 プラント の 保守 や 改修 工事 を 請け負う ほか 、 産業 用 設備 の 設計 や 施工 、 保守 も 手掛ける 。 また 、 ソフトウェア 
261,ネット・インフォメーション株式会社,IT,training,経営 戦略 や 業務 調査 を 行い 、 顧客 に 合わせ た IT インフラ の 構築 や 運用 業務 を 行う 。 また 、 Web システム や 業務 用 
262,日創工業株式会社,IT,training,医療 機器 や OA 機器 、 IoT など の 組み込み ソフトウェア 開発 を 中心 に 、 ソフトウェア 設計 ・ 開発 を 行う 。 また 、 仮想 化 や クラウドコンピューティング 技術 を 用い 、 金融 や 産業 および 
263,株式会社トランスネット,IT,training,システム の 受託 開発 や IT インフラ の 工事 ・ 構築 、 システム の 保守 ・ 運用 など 、 IT 関連 の あらゆる 業務 を 行う 。 また 、 顧客 の 社内 ネットワーク と 
264,日野コンピューターシステム株式会社,IT,training,日野自動車 グループ の 情報 システム 専門 会社 として 、 日野自動車 の 生産 管理 システム や 販売 会社 支援 システム など の 開発 や 維持 を 行う 。 また 、 日野 自動 
265,株式会社デンサン,IT,training,主 に 住民 登録 システム や 税金 および 収納 システム など の 公共 用 システム の 開発 を 行っ て いる 。 また 、 口座 振替 や 給与 差 サ 
266,株式会社アイ・エフ・クリエイト,IT,training,保険 比較 サイト 「 i 保険 」 の 運営 や 資産 運用 の アドバイス に 保険 加入 の コンサルティング を 行う 。 また 、 住宅 ローン や 投資 に 税金 対 
267,株式会社Ｉ２Ｃ,IT,training,Web アプリケーション の 開発 や Android 開発 を 主 に 行っ て いる 。 また 、 Web サイト の 制作 や 、 システム 開 
268,エス・アンド・アイ株式会社,IT,training,ネットワーク システム の 設計 ・ 施工 および サーバー 仮想 化 基盤 など の IT インフラ の 構築 や 、 AI を 活用 し た 各種 ソリューション・クラウドサービス の 提供 を 手掛ける 。 また 、 手のひら サイズ の マーケティング 支援 
269,ＮＤＳインフォス株式会社,IT,training,NTT グループ ビジネス や 住民 サービス 関連 など 、 基幹 システム から 業務 システム まで 、 システム 開発 を 行う 。 また 、 サー 
270,株式会社ＳＲＩシステムズ,IT,training,住友 ゴム グループ の グループ 会社 で あり 、 コンピューター システム や ソリューション の 提供 を 行う 。 主 に 、 物流 や 販売 、 経理 お 
271,株式会社エスペラントシステム,IT,training,企業 や 公共 団体 など を 対象 に Web システム の 設計 から 開発 、 保守 および 運用 まで を 手掛け て いる 。 また 、 サーバー に 蓄積 する 情報 を 解析 し 、 顧客 に システム や ソ 
272,株式会社シーティーエス,IT,training,固定 IP 電話 や 回線 、 データ バックアップ など の サービス に 加え て 、 情報 共有 システム や ネットワーク カメラ を 含む IT インフラ セット を 土木 および 建築 業界 の 企業 、 設備 現場 事務所 を 対象 に レンタル ・ 販売 し て いる 。 また 、 MDTS や GNSS など による ワンマン 測量 システム および 転 圧 管理 システム に 加え て 、 3 D スキャナー 
273,株式会社アリス,IT,training,サーバー や ストレージ など の 販売 や 構築 、 運用 保守 を 行う 会社 。 また 、 セキュリティ ソフト の 販売 ・ 構築 も 手掛ける 。 その他 、 「 
274,株式会社ＪＯＥ,IT,training,人事 管理 や 給与 計算 および 勤務 管理 、 マイ ナンバー 管理 の IT システム を クラ ウド で 提供 する IT システムアウトソーシングサービス を 手掛ける 。 また 、 システム 設定 や 運用 ・ 保守 に も 対応 。 さらに 
275,株式会社ユーテクノソリューションズ,IT,training,組込み システム や 業務 用 システム の 開発 や 、 ネットワーク の 構築 および システム 管理 を 手掛ける 。 また 、 回路 や 筐 体 など の 設計 や 開発 、 試作 機 の 作成 や 評価 および 量産 
276,エヌ・ティ・ティ・システム技研株式会社,IT,training,東京 コンピュータ サービス 株式会社 の グループ 企業 で 、 NTT 及び NTT 関連 会社 の 組み込み ソフトウェア 開発 を 主 に 行 
277,メディアファイブ株式会社,IT,training,主 に ソフトウェア の 受託 開発 による 企業 経営 の サポート を 行う 。 システム の 構築 から 保守 、 運用 まで 一貫 し て 対応 する ほか 、 コンサルティング も 請け負う 。 さらに 、 企業 を 対象 に IT エンジニア の 派遣 に も 取り組み 、 Web 系 システム 開発 や サーバ および ネットワーク の 設計 ならびに 構築 も オンサイト で 
278,株式会社高知電子計算センター,IT,training,主 に 官公庁 や 企業 を 対象 に システム 開発 サービス を 提供 し 、 Web サイト 構築 サービス や システム コンサルティング 、 業務 ソフトウェア 開発 等 を 行う 。 また 、 情報 サービス 
279,セコム山陰株式会社,IT,training,「 セコム・ホームセキュリティ 」 など の 個人 および 法人 向け の オンライン セキュリティ サービス を 手掛け て いる 。 また 、 監視 カメラ や 防犯 ガラス など の 防 
280,株式会社コンピュータマネジメント,IT,training,IT コンサルティング 業務 として 、 学校 法人 向け の インターネット 出願 システム といった 業務 アプリケーション 開発 の ほか 、 インフラ 構築 を 手掛ける 。 また 、 これら の 保守 や 運用 ・ 
281,テックファーム株式会社,IT,training,サービス デザイナー や エンジニア 、 保守 運用 に 関わる 要員 を 配置 し 、 システム 開発 から 運用 まで の ワン ストップ サービス を 行う 独立 系 システムベ 
282,株式会社エー・アール・シー,IT,training,LAN 工事 や 通信 機器 の 設置 設定 など の ネットワーク 工事 など を 手掛ける 。 また 、 LAN ・ WAN 構築 や IP ‐ iPhone 構築 など の インフラ 構築 など も 請け負う 他 
283,富士ゼロックス長野株式会社,IT,training,オフィス 向け の カラー 複合 機 や ネットワーク 機器 の 保守 点検 を メイン に 、 オフィス の 業務 支援 ソリューション を 
284,ユニインフオーメーション株式会社,IT,training,汎用 機 の 事務 処理 系 や 通信 制御 系 アプリケーション を 中心 に 、 開発 や 保守 および 運用 を 手掛ける 。 また 、 サーバ の 環境 設計 や 運用 、 お よ 
285,株式会社コンセント,IT,training,Web サイト を はじめ と する デジタル メディア や 、 雑誌 など の 紙 媒体 の デザイン を 手掛ける 会社 。 コーポレートコミュニケーシ 
286,株式会社オーティーシー,IT,training,IT 技術 者 の 派遣 ・ システム 受託 開発 ・ システム 運用 、 保守 ・ システム に関する 総合 サポート を 行っ て いる 。 システムエンジニア サービス 事業 は 、 
287,株式会社千豊,IT,training,千葉 トヨタ グループ の 会社 で 、 損害 保険 および 生命 保険 代理 店 業務 を 行っ て いる 。 自動車 保険 を はじめ 生命 保険 や 医療 保険 、 火災 ･ 地震 保険 など を 取り扱う 。 また グル 
288,株式会社コンピューター・ビジネス,IT,training,サーバ 構築 を 行う ほか 、 オンライン ストレージ サービス や クラ ウド 型 IP カメラ システム を 提供 する 。 その ほか 、 バス 会社 の 勤怠 管理 や 運賃 管理 、 ク 
289,株式会社電子工学センター,IT,training,公共 機関 向け から 金融 業 、 製造 業 向け まで 様々 な 分野 の ソフト を 開発 し て いる 。 また 、 サーバー ネットワーク の 構築 監視 を 手掛け て 
290,トリオシステムプランズ株式会社,IT,training,各種 業界 に関する ノウハウ を 生かし た ネットワーク システム の 構築 ・ 提案 および ソリューションサービス の 提供 を 行っ て いる 会社 。 医療 ・ 金 
291,トリオシステムプランズ株式会社,IT,training,医療 分野 において 院内 物流 や 電子 カルテ システム など の 開発 や 導入 の 実績 を 持つ 。 また 銀行 基幹 系 システム の 運用 ・ 開発 や 、 競馬 ・ 競輪 等 の 
292,株式会社スカイウイル,IT,training,ネットワーク や サーバ および 、 仮想 化 構築 、 また 、 Web ソリューション 開発 など を 手掛ける 会社 。 また 、 アプリケーション の 開発 や 、 病院 お よ 
293,株式会社トライバルユニット,IT,training,自社 保有 の ブース を 利用 し 、 コール センター の 運営 代行 や テレマーケティング の 支援 を 行う 。 また 、 コール センター や 販売 員 、 事務 員 および 物流 人 
294,株式会社富士通パブリックソリューションズ,IT,training,中央 省庁 や 外郭 機関 、 民営 化 会社 など から の 受注 に 基づき 、 業務 システム の 開発 や 運用 、 保守 を 行っ て いる 。 また 、 サーバー や スト 
295,株式会社フォーデジット,IT,training,マーケティング 戦略 を 念頭 に 置い た Web サイト や アプリ の デザイン 制作 を 請け負い 、 運用 ・ 更新 など も 手掛ける 。 また 、 業務 フロー や 運用 体制 
296,コンピューターシステム株式会社,IT,training,財務 や 金融 、 物流 及び 生産 管理 など に 関わる ソフトウェア の 設計 や 開発 を 行っ て いる 。 また 、 サーバー や ネットワーク インフラ の 設計 や 構築 、 運用 も 請け 
297,株式会社システムハウス．アイエヌジー,IT,training,様々 な 分野 向け の 業務 用 システム の 開発 を 行っ て おり 、 特に 金融 業界 と 流通 業界 向け の システム 開発 を 得意 と する 。 投資 信託 管理 シス 
298,本多通信工業株式会社,IT,training,通信 インフラ 向け 光ファイバー 用 コネクタ 、 FA 機器 向け インター フェイス 用 コネクタ 、 民生 機器 向け ノート パソコン や デジタル カメラ の メモリー カード 用 の ソケット 、 ならびに 車載 向け 車載 カメラ 用 コネクタ や ケーブル ハーネス など 、 電気 コネクタ および 光 コネクタ の 製造 や 販売 を 手掛ける 。 また 特定 子会社 で ある 安 
299,株式会社テクノ・セブン,IT,training,業務 系 アプリケーション 開発 を 行う 子会社 の 株式会社 テクノ ・ セブン システムズ と 連携 し 、 システム の 受託 開発 や アンケート 集計 ・ データ センター 運営 など の システム サービス 、 ネットワーク 構築 ・ サーバー 構築 など の IT インフラ 支援 など を 手掛ける 。 また 、 集積 回路 など の ハードウェア や 組み 込 
300,システム・アルファ株式会社,IT,training,販売 管理 システム や 生産 管理 システム の 導入 コンサルティング など を し て いる 会社 で ある 。 業務 システム や Web サービス など の システム 
301,株式会社クロステック,IT,training,情報 システム の 受託 開発 や ハ ゚ ッケーシ ゙ ソフト の 開発 ・ 販売 を 行う 会社 。 医療 機関 向け システム や 金融 機関 向け システム など 、 様々 な 
302,株式会社クリエイティブジャパン,IT,training,ネットワーク や セキュリティ 、 サーバー 及び ソフトウェア 等 の システム 設計 ・ 開発 ・ 運用 ・ 管理 を 行う 。 また 、 技術 コンサルティング など 
303,株式会社ソルコムビジネスサービス,IT,training,パソコン や サーバー など OA 機器 の 販売 や レンタル を 手掛け て いる 。 さらに パッケージ ソフト や アプリケーション の 設計 や 販 
304,株式会社日進通工,IT,training,モバイル ネットワーク に 必要 な 屋内 、 屋外 の 基地 局 建設 など ネットワーク インフラ に 関わる 事業 を 行っ て い 
305,株式会社ビジネス・インフォメーション・テクノロジー,IT,training,物流 や 小売 業 向け アプリ の 開発 や コンサルティング を 手掛ける 。 また 、 エンジニア の 派遣 など の ア 
306,サンワアルティス株式会社,IT,training,おもに 工場 で の 組立 や 半導体 製造 装置 の 据付 および 製造 装置 オペレーター 等 の 製造 系 人材 や 事務 系 人材 の 派遣 を 行っ て いる 。 さらに 、 エンジニ 
307,株式会社第一コンピューター,IT,training,ソフトウェア の 開発 を 中心 として 、 金融 系 や 製造 系 システム の 開発 を 主として いる 。 また 、 コンピューター の 運用 管理 や 障害 時 の 一 次 切り分け など の システム 運用 管理 を 行 
308,株式会社エーアイエル,IT,training,プラント エンジニアリング 人材 の 派遣 や 、 事務 改善 コンサルティング を 行う 。 また 、 プラットフォーム 、 ミ 
309,大明ネットワーク株式会社,IT,training,無線 基地 局 および ビル 内 通信 設備 など の 通信 インフラ 設備 の 設計 や 施工 および 保守 を 行っ て いる 。 また 、 情報 セキュリティ システム や サーバー システム な 
310,株式会社エンライズコーポレーション,IT,training,主 に システム の 開発 など の IT インフラ 環境 の 構築 を 行っ て いる 。 また 、 ハード 、 ソフトウェア の 保守 や システム 監視 、 ユーザー サポート も 
311,株式会社ＹＳＬソリューション,IT,training,官公庁 や 金融 機関 他 、 様々 な 企業 の 業務 支援 システム の 設計 ・ 開発 を 手掛け て いる 。 主 な 開発 システム として 中央 省庁 
312,株式会社北海道ジェイ・アール・システム開発,IT,training,北海道 札幌 市 にて 、 インフラ 構築 や 業務 システム の 運用 および 監視 を 手掛ける 。 また 、 ハードウェア や ソフトウェ 
313,株式会社アクシオ,IT,training,統合 認証 基盤 を 中心 に 、 ケーブリング から ネットワーク や 仮想 化 技術 など IT インフラ の 提供 を 行う 。 企業 内 の IT ソリューション が 可能 な システム の 設計 や 構築 、 および 教育 から 運用 、 保 
314,株式会社アルファ・ウェーブ,IT,training,主 に 基幹 業務 や 業務 システム の 開発 を 請け負っ て いる 。 航空 運輸 や 証券 や カード ・ 与信 など の 金融 機関 および 食品 製造 業 など に 開発 
315,株式会社シーディア,IT,training,ソフトウェア や ハードウェア の 開発 を 行う 会社 で ある 。 通信 機器 や 車載 機器 など の アプリケーション 開発 や 、 生産 管理 シ ステ 
316,株式会社ライトウェル,IT,training,IT 基盤 の 構築 および 運用 サービス を 提供 し て おり 、 プライベートクラウド や 災害 時 バックアップ など IT 環境 を 快適 に する システム を 開発 する 。 ま 
317,株式会社コアコンセプト・テクノロジー,IT,training,製造 プロセス 改良 など の コンサルティング 業務 や 、 データ 分析 など を 用い て 解析 的 に 解決 する 解析 ソリューション 業務 など 
318,株式会社東北電子計算センター,IT,training,日医 標準 レセプトソフト や 電子 カルテ 等 の 情報処理 サービス の 導入 支援 を 手掛ける 。 また 、 介護 福祉 システム 「 福祉 の 森 」 
319,ＮＴＴテクノクロスサービス株式会社,IT,training,自社 データ センター を 活用 し た ネットワーク 構築 や システム 運用 及び 監視 を 行っ て いる 。 また 、 グループ の ネットワーク や 社内 システム における 
320,株式会社グリフィン,IT,training,windows や Linax 環境 における ソフトウェア の 受託 開発 を 行っ て いる 。 銀行 の 与信 管理 や 外国 為替 の 取引 システム 、 クレジット 管理 システム など 、 さ 
321,株式会社島津ビジネスシステムズ,IT,training,島津製作所 の 子会社 で 、 島津 グループ の 業務 システム に関する 設計 や 構築 および 運用 等 の 支援 を 手掛ける 。 また 、 グループ における ネットワーク 構築 や Web 制作 
322,株式会社阪急阪神電気システム,IT,training,阪急電鉄 と 阪神電気鉄道 の 鉄道 電気 設備 の 保守 および 設計 施工 を 請け負っ て いる 。 主 に 信号 工事 や 情報 通信 設備 の 新設 工事 や 更新 、 補修 工事 を 行う 。 併せ て 、 駅 務 機器 
323,株式会社サントラスト,IT,training,各 業種 の 業務 用 IT システム の コンサルティング ・ 設計 ・ 開発 など を 請け負う 会社 。 また 、 業務 用 Web システム と 、 NET による クライアン 
324,シンカ株式会社,IT,training,学校 や 病院 、 商業 施設 で の 情報 通信 機器 販売 や 設置 、 ネットワーク 設備 構築 など を 行う 。 情報 システム の 提案 を はじめ 保守 や 整備 、 修理 など を 
325,株式会社アルシード,IT,training,Web サイト など Web コンテンツ や スマホアプリ など の 受託 開発 を 請負う 。 その他 、 IT エンジニア を 派遣 し て の ネットワーク や インフラ の 構築 、 システム の 検証 
326,アイテル株式会社,IT,training,金融 や 通信 、 流通 関連 を 中心 と し た アプリケーション 開発 ならびに システム 基盤 の 構築 など を 手掛ける 。 また 、 
327,株式会社アールピーシー,IT,training,オープン 系 の システム 開発 を メイン に 、 汎用 機 まで 対応 し た ソフトウェア の 開発 や 受託 開発 を 手掛ける 。 また 、 ネットワーク を 中心 
328,グロースエクスパートナーズ株式会社,IT,training,IT を 用い た 事業 の 立案 や 企画 、 Web ビジネス の コンサルティング 等 を 行う 。 また 、 Web マーケティング 支 
329,株式会社ギガ,IT,training,IT セキュリティ サービス や コンサルティング および 情報 管理 など の Web を 介し た サービス や ソフトウェア 販売 を 請け負う 。 
330,加賀ソルネット株式会社,IT,training,電子 部品 の 販売 など を 手掛ける 加賀電子 株式会社 の グループ 会社 で ある 。 パソコン 及び タブレット や 電子 書籍 及び 周辺 機器 
331,株式会社メビウス,IT,training,業務 アプリケーション の 開発 や システム 基盤 の 構築 、 運営 など の コンサルティング サービス を 提供 する 。 その他 、 パッケージソフトカスタマ 
332,ＪＸアイティソリューション株式会社,IT,training,JXTG グループ の 関連 企業 で 、 販売 物流 システム や 経理 システム など 、 グループ 内 で 使用 する IT システム の 開発 ・ 運用 を 行う 。 また 、 グルー 
333,東邦ガス情報システム株式会社,IT,training,IT コンサルティング を 行っ て おり 、 システム の 提案 から 開発 、 保守 まで 行う 。 また 、 ネットワーク の 設計 及び 構築 や データ センター の 運用 、 
334,株式会社エフ・エム,IT,training,ネットワーク や データベース ・ サーバ の 構築 ・ 設計 及び 保守 を 行っ て いる 会社 。 その他 に も 、 シ ステ 
335,ネクストウェア株式会社,IT,training,主 に コンピュータ システム の コンサルティング や 設計 および 開発 、 運用 ・ 保守 サービス の 提供 、 IoT ソリューションサービス の 提供 を 行う 。 提供 し て いる サービス に は パソコン 定型 業務 を 自動 化 する 「 WinActor 」 や 、 顔 認証 システム を 利用 し た 入 退室 管理 や 防犯 、 テロ 対策 サービス 「 SAFR 」 など が ある 。 また 、 製造 ・ 小売 ・ 物流 における ブロック チェーン による シス 
336,日本ソフテック株式会社,IT,training,各 業種 に 特 化 し た システム ソフトウェア の 開発 と 導入 支援 を 行う 。 ソフトウェア に は 販売 管理 システム や 会員 管理 システム 等 が ある 。 また 、 クラウドソリ 
337,株式会社イシマル,IT,training,複合 機 など の OA 機器 や オフィス 用品 の 卸売 を 手掛ける ほか 、 各種 メンテナンス に も 対応 。 また 、 LAN 配線 敷設 作業 や ルーティング 設計 ならびに サーバー 構築 や 
338,遠鉄システムサービス株式会社,IT,training,主 に 無線 LAN の 構築 および 統合 管理 等 を 行う 。 不正 アクセス の 対策 や Web フィルタ リング 、 迷惑 メール の 識別 等 の サー 
339,株式会社ＡＴＧＳ,IT,training,社内 の IT エンジニア が 顧客 の 会社 に 赴き システム 開発 を 行っ たり 、 企業 の システム 開発 を 企画 から 保守 運用 まで 一貫 し て 行う サービス を 提供 
340,株式会社ＪＳシステムズ,IT,training,IT 向け 人材 や エンジニア 等 を 対象 と し た 人材 派遣 を 手掛ける 。 また 「 本郷 アカデミー 」 の 運営 を 行い 、 IT 講座 や 医療 事務 講座 および 英語 e - ラーニング 講座 など を 開催 する 他 、 公共 職業 訓練 や 求職 者 支援 訓練 に も 対応 。 さらに 、 旅行 会社 向け クラ ウド サービス 運用 保守 など システム 並びに イ 
341,アイテックジャパン株式会社,IT,training,主 に 、 銀行 など の 金融 や 自治体 など の 公共 、 産業 に対する ソフトウェア の 受託 開発 を 行う 。 また 、 IT インフラ の 企画 や 設計 、 構築 お 
342,株式会社広島情報シンフォニー,IT,training,IT ソリューション の 提供 を 主 な 業務 と する 。 個別 ソフトウェア 開発 や IT コンサルティング 、 COBOL マイグレーション など IT 関 
343,オープンリソース株式会社,IT,training,企業 に コンサルティング を 行い 、 モデル 化 し た 業務 プロセス を ベース と し た プログラム を 構築 ・ 提供 を 手掛け て いる 。 自社 オリジ 
344,株式会社旅人,IT,training,顧客 から の 技術 的 な 問い合わせ に 対応 する テクニカル サポート 代行 を 中心 に 、 バック オフィス 支援 や アウト バウンド 代行 を 行う 。 また 、 首都 圏 
345,株式会社エースリー,IT,training,システム 監視 ・ 障害 対応 など の システム 運用 や 、 サーバ 構築 ・ ネットワーク 設計 及び 構築 など の システム 開発 を 行っ て いる 。 また 、 業務 アプリ 
346,株式会社いよぎんコンピュータサービス,IT,training,業務 内容 に 合わせ た Web アプリケーション の 設計 や 開発 および ネットワーク の 構築 や セキュリティ 対策 を 行う 会社 で ある 。 また 、 業務 の シ ステ 
347,株式会社ランシステム,IT,training,主 に 、 直営 店舗 事業 ・ 外販 事業 ・ 不動産 事業 を 手掛ける 。 直営 店舗 事業 で は 、 複合 カフェ 「 スペースクリエイト 自 遊 空間 」 など の 店舗 展開 を 行っ て いる 。 また 、 子会社 で ある 株式会社 ラン セカンド とともに アミューズメント カジノ 店舗 ・ カプセル ホテル 店舗 ・ 飲食 店舗 を 運営 を 担う 。 外販 事業 で は 、 各種 システム 等 の 販売 
348,株式会社ネットワーク,IT,training,業務 アプリケーション や システム の 開発 ならびに 構築 など を 中心 に 手掛ける 。 主 に 損害 保険 システム を はじめ 、 IC カード 利用 ポイント 
349,株式会社シー・キューブド・アイ・システムズ,IT,training,システム 維持 管理 や 運用 技術 調査 研究 、 24 時間 システム 監視 業務 など の システム インテグレーション を 手掛ける 。 また 、 大 規模 システム の 開発 および 機能 改善 、 シ ステ 
350,株式会社メディアフォース,IT,training,継続 的 に IT の 最適 化 を 行う IT マネージメント サービス や 最適 な パッケージ ・ サービス の 選択 を 行う エンタープラ 
351,西部ガス情報システム株式会社,IT,training,西部ガス グループ の 情報 システム 会社 として 、 ガス 事業 者 用 の パッケージ ソフト 「 シスコムキューブ 」 など の 開発 および 卸売 を 行う 。 また 、 セキュリ 
352,株式会社アイティーシー,IT,training,サーバー の 構築 や システム 運用 の 設計 を 行う 会社 で ある 。 また 、 金融 機関 や 官公庁 向け に ネットワー 
353,株式会社グッドワークス,IT,training,オープン 系 ソフトウェア の 設計 ・ 開発 や 、 企業 内 の サーバー 及び ネットワーク の 設計 や 構築 、 保守 を 手がける 。 また 、 受託 開発 に 
354,グローバルソリューションサービス株式会社,IT,training,Apple 正規 サービスプロパイダ 「 クイック ガレージ 」 店舗 を 全国 に 展開 し 、 パソコン ・ スマート フォン の 修理 サービス を 提供 し て いる 会社 。 また 東京 ・ 大阪 にて 「 集中 修理 センター 」 を 運営 し 、 Wi 
355,コムシステクノ株式会社,IT,training,コムシスグループ の 基幹 システム や 学務 システム 、 顧客 管理 システム など の 開発 を 行う 会社 。 また 運用 も 行い 、 ヘルプ デスク サービス や システム の 監 
356,富士コンピュータ株式会社,IT,training,企業 の ソフトウェア の 開発 や コンピュータ 機器 の 販売 、 IT コンサルティング など を 行う 会社 。 また 、 Web ペー 
357,ディースタンダード株式会社,IT,training,顧客 管理 システム など の 開発 や 、 Web サイト の 設計 ・ 制作 を 主 に 行っ て いる 会社 。 また 、 サーバー や ネットワーク の 構築 など 、 IT インフ 
358,アイラビット株式会社,IT,training,ERP 導入 コンサルティング や 開発 ・ 導入 ・ 運用 及び 保守 サポート を 主 業 と する 会社 。 また 、 顧客 ニーズ に 最適 な ソリューシ 
359,興南設計株式会社,IT,training,プラント 設備 や 自動車 ・ 家電 、 ならびに 産業 設備 ・ 航空機 関連 など 、 各 分野 の 機械 設計 や 製図 を 行っ て いる 。 また 、 取扱 説明 書 ・ パンフレット 等 の 作成 や 
360,株式会社菱友システムビジネス,IT,training,サーバー の 受諾 保守 、 データ 消去 など の カストマーサービス を 行う ほか 、 プリンター や PC といった IT 機器 買取 サービス 
361,日本ハムシステムソリューションズ株式会社,IT,training,ニッポンハムグループ の システム 導入 や 運用 を 手掛ける 。 コンピューター や ネットワーク 網 といった 、 グ 
362,日本システム・エイト株式会社,IT,training,自動車 搭載 機器 や 医療 機器 および 産業 用 機械 など の 回路 設計 や 設備 ・ 機械 設計 および 組 込 ソフトウェア の 設計 開発 を 手掛ける 。 また 、 社内 通信 インフラ 関連 シ 
